country,state,city,station,last_update,pollutant_id,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",01-06-2026 17:00:00,NH3,28.47272,77.482,8.0,11.0,10.0,9.03
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",01-06-2026 17:00:00,CO,19.87562,75.38731,8.0,13.0,10.0,10.07
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",01-06-2026 17:00:00,SO2,27.23711,78.01936,15.0,103.0,37.0,42.5
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",01-06-2026 17:00:00,PM10,26.906111,80.948222,46.0,85.0,62.0,62.58
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",01-06-2026 17:00:00,OZONE,21.755417,72.139056,7.0,9.0,8.0,8.29
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB",01-06-2026 17:00:00,PM2.5,20.0073285,73.7762427,16.0,39.0,28.0,25.98
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",01-06-2026 17:00:00,CO,25.56752,83.966379,22.0,26.0,24.0,24.9
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",01-06-2026 17:00:00,OZONE,25.32393,82.99687,5.0,19.0,12.0,11.83
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",01-06-2026 17:00:00,SO2,19.0863,72.8888,29.0,29.0,29.0,28.6
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",01-06-2026 17:00:00,SO2,21.217779,72.834787,5.0,6.0,6.0,5.93
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC",01-06-2026 17:00:00,CO,19.000084,72.85673,6.0,15.0,8.0,10.14
India,Maharashtra,Pimpri-Chinchwad,"Transport Nagar-Nigdi, Pimpri-Chinchwad- IITM",01-06-2026 17:00:00,NO2,18.664282,73.763966,19.986568166554736,56.69778374748153,35.03962390866353,35.039623908663515
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB",01-06-2026 17:00:00,NH3,20.719516,77.000253,6.0,9.0,7.0,7.88
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",01-06-2026 17:00:00,PM10,23.331731,75.045981,43.0,129.0,88.0,81.93
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",01-06-2026 17:00:00,NH3,28.593883,76.270653,5.0,8.0,6.0,6.28
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",01-06-2026 17:00:00,PM10,25.771061,73.340227,121.0,165.0,137.0,134.94
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",01-06-2026 17:00:00,CO,28.849399,78.742362,29.0,38.0,31.0,32.32
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",01-06-2026 17:00:00,OZONE,27.19862,77.92066,12.0,15.0,14.0,13.67
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",01-06-2026 17:00:00,NH3,26.960669,75.771817,8.0,16.0,12.0,11.39
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB",01-06-2026 17:00:00,OZONE,22.220833,84.809444,8.0,17.0,13.0,12.94
